hash type name
f90517361207e857 import age_imp_preprocessing
78d56041e9945b4d import age_imputation
780dec63d6faf6a5 target atlas_climatico
7e950abb46cd565f import atlas_climatico_download
0aefd27011387488 import atlas_climatico_preprocessing
d0ec2f65a163888a target atlas_climatico_raw
f8e8c62b5b0af5e5 import benchmark_custom
111a7691b1050a80 target benchmark_evaluation_report_diplodia
07d6a91918f514d9 target bm_nsp_non_diplodia_brt
916d4d7f4024cb15 target bm_nsp_non_diplodia_gam
c30631704ea0e986 target bm_nsp_non_diplodia_glm
dd391c1ee330020e target bm_nsp_non_diplodia_kknn
c3d24806aa38b903 target bm_nsp_non_diplodia_rf
7cf9a07099bb6582 target bm_nsp_non_diplodia_svm
f4a6aa0b171f107d target bm_nsp_nsp_diplodia_brt
d889b7617ff80ff4 target bm_nsp_nsp_diplodia_gam
4bd0fc8498bd4721 target bm_nsp_nsp_diplodia_kknn
dddc1edef338a2ce target bm_nsp_nsp_diplodia_rf
4dcb2b845c033435 target bm_nsp_nsp_diplodia_svm
3175dc66c1aa0eee target bm_sp_non_diplodia_brt
d968637be46b768f target bm_sp_non_diplodia_gam
4137005e95148327 target bm_sp_non_diplodia_glm
1933ff381297166a target bm_sp_non_diplodia_glm_old
aa1f3ac1f4a64462 target bm_sp_non_diplodia_glm2
a1a673c2e908a882 target bm_sp_non_diplodia_kknn
bdf47842f36d0c72 target bm_sp_non_diplodia_rf
e66962d3acb8b448 target bm_sp_non_diplodia_svm
b251292dcda26b7b target bm_sp_nsp_diplodia_brt
5383470ecb27491d target bm_sp_nsp_diplodia_gam
157062f47cee7e1e target bm_sp_nsp_diplodia_kknn
51680162bf260cf0 target bm_sp_nsp_diplodia_rf
1dd85682a8bd2505 target bm_sp_nsp_diplodia_svm
2f72792fdde98e12 target bm_sp_sp_diplodia_brt
b7e60087b9c786c3 target bm_sp_sp_diplodia_gam
fc0c3fa0500b6b42 target bm_sp_sp_diplodia_kknn
061ece885bbbe758 target bm_sp_sp_diplodia_rf
8e6b95bed6460644 target bm_sp_sp_diplodia_svm
47b410d9beae553f target cv_inner_fiveF
8826d5b03e5d1cfc target cv_outer_fiveF_hundredR
5c54bcbffc7f7fcb target data_basque
5f177e645c1f3f53 import dem_download
9eb0a4c7d608ae0f target dem_raw
738fff9ab6254ade target diplodia_data
83c4a9b888563ea4 target diplodia_task_dummy
2d0fb7454787b9cf target elevation
770407a9a0006608 import elevation_preprocessing
6e42d79322f186af import hail_download
d5b30b8eb1749d68 target hail_raw
8a37cf881fe7812c target lithology
c6cfa4808938e180 import lithology_download
be318ec21f307e22 import lithology_preprocessing
fae85bbba87b57f5 target lithology_raw
9b26289eb0a4662c target lrn_brt
649d0a49d91a7da6 target lrn_gam_diplodia_perf
ba1a9975b3b433e8 target lrn_gam_diplodia_perf_non
37bcbb94b583b0da target lrn_glm
4506dd603343007f target lrn_kknn
ef2c4bfcaf94efc9 target lrn_rf
7f1e17e8645de892 target lrn_svm
a97dd5acce0c1c8a import mod_raw_data
f6ae67493ec7d218 import GSIF::soil.legends
4fb84a2d95524366 import dplyr::rename
36f9439f5abf9401 import dplyr::select
56f8ae9d7d444b80 import knitr::knit
425d83b9f58c448e import raster::extract
135e1b44ad2952d3 import file analysis/rmd/benchmark-eval-diplodia.Rmd
6a0e146a9b60e821 target file analysis/rmd/benchmark-eval-diplodia.md
b81e9570a9c0c023 target ph
12257f76634406d6 import ph_download
06457902546997c2 import ph_preprocessing
b0513933a402d5b0 target ph_raw
7fe210d3846db760 target pisr
13be595a2e2f4198 import pisr_preprocessing
6f0a612b3f0a84d1 import precipitation_preprocessing
d325df49ce46f275 target precipitation_sum
0d9cdaea8082b735 import preprocessing_custom
81cd093bdefaae40 import preprocessing_custom_v2
060f80031036f41b target ps_brt
b6a59412e1f82db8 target ps_gam_diplodia_fusarium
c033071012b03391 target ps_kknn
db79096d3bd5b12d target ps_rf
573562ea6917e2f0 target ps_svm
b2aca11b0e05f79f target slope
0e98ab77ecbf2bc5 import slope_processing
041685118ca062b5 target soil
4b9482595b819cef import soil_download
e7b590143735772a import soil_preprocessing
0b5b173fbffecc09 target soil_raw
3f7b7bba627ec9fc target spcv_inner_fiveF
a12c270084d39454 target spcv_outer_fiveF_hundredR
99332b173406c890 import task_custom
6bdacb5e924bdef4 target temperature_mean
33034535a4193a8c import temperature_preprocessing
3b96a2dd4b61842a import test_age_imputation
d1e81d3cdb4e6811 target test_data
3244ca15bc27816c target test_task_old
d6355baad8f91d6d target tune_ctrl_brt_100
6797076ecb241b7a target tune_ctrl_gam_100_diplodia_fusarium
0200605d3e79a9fc target tune_ctrl_kknn_100
58b8af487c2076ff import tune_ctrl_mbo_30n_70it
7439f87b6df6b5a8 target tune_ctrl_rf_100
8f3456efe9461ea4 target tune_ctrl_svm_100
25dc6e0071174b04 target wrapper_brt_nsp
b8b54f79125d46bb target wrapper_brt_sp
6af1a9b56c2eaf51 import wrapper_custom
4778c53c61df4e47 target wrapper_gam_diplodia_perf_nsp
9445629d974bb88c target wrapper_gam_diplodia_perf_sp
9af831aa08a4dd95 target wrapper_kknn_nsp
bbbfef2921a5c591 target wrapper_kknn_sp
06b15544c4f03c3a target wrapper_rf_nsp
42885c24971587fc target wrapper_rf_sp
e62434eea26ade11 target wrapper_svm_nsp
11ee21b419ae706e target wrapper_svm_sp
1f11970c643958a4 target Ym1fbnNwX25zcF9kaXBsb2RpYV9yZg
2d7e9fe9d3231bb1 target Ym1fc3BfbnNwX2RpcGxvZGlhX3Jm
08faf6a4d475b321 target Ym1fc3Bfc3BfZGlwbG9kaWFfcmY
